config	instance	seed	result	time_s	conflicts	propagations	decisions
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	5	UNSATISFIABLE	270.9	3164439	935054396	3968805
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	6	UNSATISFIABLE	258.2	3129715	918458730	3939245
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	7	UNSATISFIABLE	299.0	3408919	986406527	4286163
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	8	UNSATISFIABLE	354.5	3125592	914487513	3925569
binary_fast	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	9	UNSATISFIABLE	376.0	2778089	811179601	3514682
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	0	SATISFIABLE	12.9	263590	28803894	455197
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	1	SATISFIABLE	12.6	157586	15009170	270051
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	2	SATISFIABLE	11.8	151081	13596102	259370
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	3	SATISFIABLE	13.1	153058	15313848	268107
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	4	SATISFIABLE	8.1	197301	19521957	335673
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	5	SATISFIABLE	8.6	113139	10233689	210968
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	6	SATISFIABLE	12.2	159728	14760023	280515
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	7	SATISFIABLE	17.1	199467	19851172	346879
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	8	SATISFIABLE	3.9	108658	9340443	204168
target_phase	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	9	SATISFIABLE	9.2	213285	21828119	358100
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	0	UNSATISFIABLE	264.0	2676666	780073416	3368416
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	1	UNSATISFIABLE	303.4	2392330	696119023	3010095
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	2	UNSATISFIABLE	184.1	2697691	798914253	3397299
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	3	UNSATISFIABLE	185.5	2744192	809199631	3447879
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	4	UNSATISFIABLE	164.0	2446987	715475771	3085469
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	5	UNSATISFIABLE	174.7	2534725	732967122	3197085
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	6	UNSATISFIABLE	188.2	2747760	802874508	3391485
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	7	UNSATISFIABLE	168.6	2490937	734736380	3137777
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	8	UNSATISFIABLE	192.3	2872356	840322120	3600380
target_phase	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	9	UNSATISFIABLE	180.7	2673066	782526911	3369097
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	0	UNSATISFIABLE	161.9	2308638	662688645	2855340
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	1	UNSATISFIABLE	171.5	2407797	686103089	3013530
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	2	UNSATISFIABLE	148.9	2205025	623562816	2732281
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	3	UNSATISFIABLE	238.7	2920832	832463610	3638194
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	4	UNSATISFIABLE	167.6	2406531	676791201	2984698
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	5	UNSATISFIABLE	182.4	2537393	718861848	3183846
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	6	UNSATISFIABLE	180.3	2489143	708515374	3101862
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	7	UNSATISFIABLE	212.9	2525110	716456883	3146874
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	8	UNSATISFIABLE	183.0	2339351	659224279	2928905
target_phase	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	9	UNSATISFIABLE	231.3	2313020	654002937	2886662
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	0	SATISFIABLE	4.3	111193	10904346	226678
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	1	SATISFIABLE	10.3	129859	12820254	242414
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	2	SATISFIABLE	15.4	179019	18944386	331929
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	3	SATISFIABLE	16.3	192471	20052078	357797
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	4	SATISFIABLE	7.9	189192	19212941	342407
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	5	SATISFIABLE	11.2	137790	13933893	268592
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	6	SATISFIABLE	33.1	301797	36547017	516929
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	7	SATISFIABLE	11.1	135227	13923455	267373
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	8	SATISFIABLE	16.3	307073	36530911	522577
chrono	849950561ddce887c78fef773dccfa80-circuit_48in64out_with_800gates_4in4out_dist128_seed3.sanitized	9	SATISFIABLE	8.1	185187	20271732	356781
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	0	UNSATISFIABLE	144.9	2182837	613189717	2756601
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	1	UNSATISFIABLE	257.3	2265986	620911006	2870750
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	2	UNSATISFIABLE	143.3	2206914	607367495	2796977
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	3	UNSATISFIABLE	134.2	2087133	584241297	2639393
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	4	UNSATISFIABLE	144.7	2253252	629595906	2840544
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	5	UNSATISFIABLE	201.4	2232090	619556825	2828061
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	6	UNSATISFIABLE	139.4	2186442	606382855	2775336
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	7	UNSATISFIABLE	147.2	2273305	623583060	2861039
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	8	UNSATISFIABLE	170.4	2572465	719992777	3250917
chrono	f0bafebdcce23ccfbaf6c27a7522069b-div-mitern172	9	UNSATISFIABLE	135.5	2097216	579593584	2661614
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	0	UNSATISFIABLE	252.8	3192070	935583824	4001995
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	1	UNSATISFIABLE	219.1	2905673	842845525	3658954
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	2	UNSATISFIABLE	207.8	2799047	821053629	3516712
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	3	UNSATISFIABLE	209.5	2724188	799336125	3405675
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	4	UNSATISFIABLE	249.0	3196446	934308204	4005672
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	5	UNSATISFIABLE	247.0	3184769	944855308	3990728
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	6	UNSATISFIABLE	277.5	3479341	1020462637	4371135
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	7	UNSATISFIABLE	239.7	3118037	906142155	3936897
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	8	UNSATISFIABLE	232.8	3116039	913789069	3920072
chrono	31e843c53a76ff3961935ad55b953298-sqrt-mitern171	9	UNSATISFIABLE	243.0	3263072	953751735	4098153
